,ABCB4,ALPA4,AMAR3,BBAS3,BBDC4,BEEF3,BRAP4,BRFS3,BRML3,BRPR3,BTOW3,CCRO3,CIEL3,CMIG4,CPFE3,CSAN3,CSMG3,CSNA3,CYRE3,DIRR3,DTEX3,ECOR3,ELET3,EMBR3,ENBR3,EQTL3,EVEN3,EZTC3,FLRY3,GFSA3,GGBR4,GOAU4,GOLL4,GRND3,GUAR3,HBOR3,HGTX3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,JHSF3,JSLG3,KLBN4,LAME4,LIGT3,LOGN3,LREN3,MDIA3,MGLU3,MILS3,MRFG3,MRVE3,MULT3,MYPK3,OIBR3,PETR4,POMO4,POSI3,PSSA3,QUAL3,RADL3,RAPT4,RENT3,SBSP3,SLCE3,SMTO3,TCSA3,TIMP3,TOTS3,TRPL4,UGPA3,VALE3,VIVT4,WEGE3
ABCB4,1.0,0.2015148731601173,0.16176088019829812,0.43785188581246215,0.47856129108068407,0.15502387230379086,0.2635583024251509,0.21194151920475957,0.33590053689432,0.20002414835583462,0.14647596725957546,0.28533545149056405,0.26140453468684444,0.3250474998103528,0.2805138527391793,0.2996290708636184,0.2233712913573517,0.2517604204561075,0.32879643848114276,0.2926266447229831,0.30143608332989,0.2556986932267586,0.3058896464748765,0.09340053632996341,0.24429189860769693,0.2574046144604018,0.30725128248143,0.3629695107388571,0.1493995017639126,0.2614673915582851,0.2214564280932534,0.23606748031131722,0.260355386788082,0.20444660136395668,0.19605598674553545,0.22177683188283578,0.26416072112172495,0.26254965006803704,0.30129385601991043,0.4709753305431238,0.45532444594774885,0.22403190424191255,0.23814537446896056,0.19411198778445185,0.14826269050381935,0.2864905242602152,0.2799303590533794,0.12514270102476827,0.2915818994110937,0.18895570238980194,0.18903929937514333,0.20532235347838126,0.1910308545087209,0.22781844886462557,0.3226558894042921,0.23523965477022665,0.13875975150213085,0.3555581587654298,0.2328597559252643,0.1416928816594895,0.1893821842410856,0.19160479371583253,0.20510755521451884,0.27799150654180355,0.2825374556605945,0.30395344964978044,0.12209435746893826,0.19109511599741555,0.2990768266569893,0.21679105354631084,0.19774788017581887,0.24450567132432444,0.3315054708037301,0.2081246743114983,0.28603440173001293,0.1452693704912434
ALPA4,0.2015148731601173,1.0,0.1546407371741508,0.23450940787397392,0.26945067607044,0.09908854426266327,0.16121262100014344,0.16742454962787084,0.2688810411184824,0.2076153969663196,0.12073972958127706,0.22683362850323943,0.20655787850195123,0.19274188449931307,0.22139441545664176,0.2051182647860884,0.13031569780367142,0.15301782379617032,0.27944458821060764,0.18194094947413392,0.2281617488196227,0.2217602616896037,0.1831196080766867,0.1076867252593213,0.16907691482460602,0.19581247172939395,0.2538044020009458,0.27485788236248704,0.16637253149892953,0.2636101255599978,0.1308329943497398,0.13483704407195812,0.21394065051457342,0.22312878065703132,0.1857734025339862,0.18020902112928808,0.17873372900554022,0.22177889741621779,0.22235660340123434,0.2637790461766012,0.25473721702609553,0.17437699806770726,0.15556895999633732,0.15460263136539576,0.13263696518496648,0.20463890769012877,0.1905224955541505,0.09284931335398872,0.2371691363912965,0.157792000629018,0.13383965930134006,0.14318494496737308,0.18932542174173084,0.2366672259499109,0.23550885329743015,0.1877094891852997,0.08682346762561888,0.21886853375838405,0.1525310598010341,0.12761077113498978,0.13839942380687298,0.15099101199298556,0.16512642975280242,0.15433305160147479,0.23280113942069033,0.22506153507522883,0.13458981887170843,0.1898584578852252,0.21389265697689566,0.15722331756291336,0.16028011828189348,0.1815267611361569,0.21996519296607445,0.12267055146399274,0.20902926525587112,0.10557943296931653
AMAR3,0.16176088019829812,0.1546407371741508,1.0,0.24322019034469355,0.2671079495328979,0.13768771233377672,0.17653934715964972,0.1546193720983696,0.251318111137587,0.19208228362359794,0.13635588725918357,0.21598817896748437,0.20424201149120405,0.2425923174609381,0.20862035841791196,0.18784844730867323,0.14421035429273518,0.17987307285210755,0.23571658088603992,0.21214300907302577,0.1800273503299918,0.20485861180216017,0.20457874974873883,0.08141640097476947,0.18806859051249944,0.1987389289443417,0.24109454187725668,0.19580787872589006,0.12995013786499224,0.21058199305554268,0.16898106393562826,0.1744755213903498,0.14754025179901994,0.16424181073942204,0.16746243565446717,0.1755516786306929,0.29878333276308566,0.2465188837130071,0.22791571472668273,0.24455324037800602,0.2419166048893607,0.15106893678139482,0.1703043977630805,0.14410904781582087,0.1325916367735886,0.2735131088003902,0.19517671260380703,0.1118993935070935,0.2988025092307386,0.1337635296283017,0.21148457116918895,0.16900858830429122,0.18881104373821234,0.1973547347128839,0.22496936958483177,0.18399157426887572,0.13843215941891795,0.23147181264206365,0.15422143785718892,0.14933553460248977,0.1385121334203569,0.156252032906245,0.15257529246902163,0.20050481734321116,0.23154292454446584,0.1822623194006768,0.0827681622432815,0.13712512187089096,0.23001779262427566,0.1867937499977393,0.14374927233908885,0.14443823577947537,0.2060258732774723,0.18205975485145334,0.19224236842830508,0.12382781681782264
BBAS3,0.43785188581246215,0.23450940787397392,0.24322019034469355,1.0,0.6769984431397095,0.17836300456778495,0.37178940385589737,0.34114978594213363,0.48202396746371423,0.29262803543545934,0.2217501960615445,0.42054736996107567,0.37159526653121544,0.4300319019538668,0.4145650976131305,0.396877930532309,0.23280795985644703,0.3642672135211078,0.43164491036925884,0.3313315855593239,0.3687995163607624,0.4033802308307069,0.41992155370847406,0.11742652996281168,0.3532505360959711,0.3423673267301165,0.39502726086289963,0.4089364496741383,0.18324464488202208,0.35238770681103954,0.33758804021126554,0.3369031824866134,0.35072574808542134,0.27140858598126427,0.238445515220067,0.30700139615118516,0.3275192875336781,0.3945986160647287,0.3804609165678806,0.673479358910237,0.6688627400585384,0.2949275419005721,0.31515053000989807,0.2520163405484807,0.1821546617266745,0.4432696802906669,0.3497340519325577,0.1526943969251533,0.39807748482139854,0.24941977177953895,0.2556113203446556,0.27496461920972126,0.28020686386931704,0.3676688429369848,0.45130423305452255,0.26488588149937603,0.16109662902460953,0.5483319898344756,0.29854992249745566,0.2248478198589396,0.33687568322102424,0.3184327374008889,0.2684442138736623,0.3565479945034531,0.37007607134559445,0.39202701426696496,0.11848725548450467,0.2179053760330613,0.3810719871447969,0.3083489812041472,0.24302291387140917,0.3305450048511326,0.4160784626021174,0.3217627479854641,0.3766219394826265,0.23122406325715963
BBDC4,0.47856129108068407,0.26945067607044,0.2671079495328979,0.6769984431397095,1.0,0.19309066829002428,0.40401041262961535,0.3794898740110993,0.5111716860558028,0.33199932161991946,0.20169457031978988,0.4428160381078508,0.38849034695007156,0.41746403427439854,0.4656099931295157,0.44982176825298853,0.23412125214502663,0.36484705516933935,0.4553031047163182,0.36575676420356235,0.4361900420747125,0.4244576856322197,0.44712926591042024,0.1751263440645285,0.3712638004602154,0.3588390325502625,0.4447995672269288,0.42542367658117275,0.17932824768515784,0.39350536580695594,0.3601327119927598,0.3540111679386379,0.40046639286443775,0.29467855446561053,0.24368437632497286,0.32382897880900746,0.3585439469514545,0.3844259944971995,0.4264220926485393,0.7969703573259336,0.839705946342993,0.30671158168731844,0.31268231468896285,0.25218845725767125,0.2098979907910057,0.48839184148916787,0.367085047635354,0.16389248958809916,0.445151989605766,0.28791122302275646,0.27470081563761356,0.2716234062069825,0.28500281393471005,0.3732104687980736,0.49327603386333035,0.31510844021676465,0.17955220680193118,0.5847553187772185,0.3266516574373209,0.21839569318553792,0.3762780017233413,0.296529063166796,0.2957062861342837,0.37369547954615556,0.42077402001085823,0.42555023848517787,0.11652122283345248,0.22154134597355235,0.40523397453527893,0.3488966856737384,0.25512622281711633,0.31851880621647166,0.4655440810682184,0.36771653568397683,0.4089135474460965,0.26267406553343975
BEEF3,0.15502387230379086,0.09908854426266327,0.13768771233377672,0.17836300456778495,0.19309066829002428,1.0,0.20771059039814155,0.22744538743947396,0.18878956985144146,0.13487495327065885,0.1287170734805584,0.20893954929303224,0.1677386016938047,0.1695834802323373,0.22688465502594415,0.1825447133436735,0.11682281042879229,0.20860304766868965,0.19261668189439698,0.1539342825406275,0.20194378395920418,0.1629147299558684,0.16877550882850945,0.17187500393392635,0.16350735317461454,0.16463685222883512,0.1851916989472991,0.19971570811412676,0.10196427918691696,0.1595123430303625,0.2303177101136708,0.2316168131942884,0.17996944885064775,0.1452878501418253,0.12182635376365836,0.12148362312415915,0.16026612741598226,0.19621778614531574,0.14514433635668292,0.17600933905240268,0.18478824603379376,0.25985866509864464,0.17866115932362941,0.12541231172627457,0.1890814654425982,0.1934820922581027,0.15935576244379213,0.11384785325525035,0.19104322592764816,0.10751958416656883,0.15422781303310232,0.10513108283374654,0.35444127271915493,0.20847280425870787,0.15302049984614993,0.17550578171691072,0.13616603549640888,0.1833447538536361,0.092822311556687,0.10143195160918823,0.1347565835718344,0.10352823647506619,0.11618401633740119,0.18290175327077637,0.15165317156070207,0.17288255962343152,0.1354904028484958,0.18474074703334326,0.14860962740424347,0.19004686343396857,0.14295737099008676,0.15732678613302883,0.19120558117744468,0.20176098976416834,0.1809064962193133,0.1377955182512795
BRAP4,0.2635583024251509,0.16121262100014344,0.17653934715964972,0.37178940385589737,0.40401041262961535,0.20771059039814155,1.0,0.23966078101913035,0.32563708930251406,0.19507945693334575,0.16027077062480138,0.29344125707114666,0.23240622219255985,0.3202609575962038,0.2884697155600877,0.2815749505665441,0.18262379747420368,0.5863803346742034,0.3212571071934614,0.17691393363721614,0.31502493844270085,0.31071005131453755,0.3021087651156937,0.1701126155237599,0.26087740258341974,0.20519903747118876,0.2940492138539033,0.2595805557145322,0.12077498834661159,0.29940914385573075,0.5811881235425123,0.5836376826114527,0.30628310516158824,0.1813903129053136,0.2116283609090503,0.17746463030647247,0.22339476571545425,0.25778801675866375,0.24976201551265398,0.3594649849890443,0.3751471467708958,0.19600380317414562,0.27651258764677067,0.15189555602367208,0.21656598956152698,0.3262471885136801,0.26471902803489117,0.1492308750026148,0.2897599285517156,0.19518483483402788,0.2524165781466438,0.2052620023061687,0.21784992921500845,0.2667475678073856,0.2886568144018839,0.25365360300803796,0.1749516537344817,0.47339977127242455,0.1764142094868773,0.14393127881009746,0.18072213853301536,0.20148952092402045,0.15845747130790291,0.2661286491769062,0.29119129406831734,0.265613040758993,0.10473234854626298,0.13777293004912158,0.27236348228203533,0.32873032755452025,0.2007233050396395,0.20431577986043753,0.2883800449527973,0.8773137819691423,0.3107378877529139,0.1772537706797886
BRFS3,0.21194151920475957,0.16742454962787084,0.1546193720983696,0.34114978594213363,0.3794898740110993,0.22744538743947396,0.23966078101913035,1.0,0.2946602507376012,0.215186417630829,0.14338304208084338,0.3324823594233397,0.29144037566640557,0.2607427692153667,0.3249988648587778,0.23949656576481684,0.16567873065202707,0.2551652516751614,0.31113055594130407,0.2321602095105877,0.24485770397703227,0.28433297511776384,0.21744353909645478,0.20604330058929304,0.23359479497488542,0.1825450584127565,0.250170844863354,0.27223621456327446,0.11087309169486462,0.2581296039473443,0.25560014332311254,0.2589277270126571,0.2471215848822498,0.19677797841656874,0.17155252962136253,0.20594947738535246,0.2249368243783954,0.25913342782825594,0.26860921459596093,0.35648936282490745,0.35509249826540923,0.3298437873925284,0.20256325019130422,0.15513337541276262,0.22037856366644348,0.3375933819614729,0.24099771537012493,0.11532528414302123,0.31083602283162953,0.23307076701350415,0.14699660730732783,0.1325326944591248,0.22726560007286495,0.2505724511989438,0.29213551034921775,0.2113320428228454,0.10670820281424227,0.3153008438882804,0.2327215795720334,0.1315430630082737,0.24348072271727642,0.18380677397563622,0.16403684864642126,0.2570318016673057,0.27500783614302027,0.2697655115518644,0.11640271985735193,0.19962283712483112,0.2124128444320752,0.2344355094622357,0.24607321444021282,0.1880708522424709,0.3465950127742888,0.21634409504589086,0.2927422238131425,0.24611436606974255
BRML3,0.33590053689432,0.2688810411184824,0.251318111137587,0.48202396746371423,0.5111716860558028,0.18878956985144146,0.32563708930251406,0.2946602507376012,1.0,0.42817302559120274,0.2417168250132027,0.5178874140182602,0.36453945640073027,0.3446366938059537,0.4406901449545091,0.38979157713828294,0.23235164449912052,0.34693516622751397,0.4817857745646368,0.3176784403030793,0.4045778902050543,0.4241529785222537,0.3555582274319685,0.09877870644633409,0.32545293572835626,0.3277349122830931,0.41182131861545973,0.39763401291777434,0.16162740559254893,0.3633904578810517,0.26875896253610604,0.2648958918812586,0.3035312509244105,0.21294398139307483,0.2545142985269341,0.2682233243876893,0.3466924036121883,0.4098495124357329,0.5342802232044305,0.5067652067962036,0.5048495293134613,0.242350077109809,0.30901442327511525,0.22329095122539527,0.16196134408867258,0.4746587294241557,0.3448613940583545,0.14283080427441563,0.46524947210119955,0.24321588632756497,0.25437990963666973,0.26685402629130317,0.3163622184741216,0.377290604377941,0.6230588924966441,0.2555214655084567,0.2272997916143465,0.46292088044816004,0.2883370925858978,0.1812192812717787,0.2795895755453516,0.2913237652338674,0.2357237376366922,0.3203677493599274,0.41066673289223093,0.3643282014441371,0.1385346806654168,0.24604865971313922,0.3632305552609082,0.29642468255037835,0.22851209611178971,0.28434860315588767,0.4253484073963874,0.27629507901999467,0.35518633668285204,0.20389214183756219
BRPR3,0.20002414835583462,0.2076153969663196,0.19208228362359794,0.29262803543545934,0.33199932161991946,0.13487495327065885,0.19507945693334575,0.215186417630829,0.42817302559120274,1.0,0.13172003528145507,0.31604033319922653,0.23988299107036465,0.26608913185768424,0.32524515393915904,0.26594238274364346,0.17248744048324197,0.1983361179313001,0.3581921247462464,0.23208235191431772,0.25493900770029404,0.270598604660532,0.32663613358452126,0.06796265488086929,0.3056025287712536,0.2491173542405746,0.29778354139189417,0.30434191794211246,0.09254406078365256,0.28652146811655793,0.17490067803206072,0.1500128551840815,0.2481647433360563,0.2741142231381536,0.14690521624620273,0.20690002735398255,0.2419633323620649,0.23491501291097328,0.3739438874191635,0.32989238518840813,0.318367106168167,0.20816842636372362,0.24564275139496428,0.16476667530366254,0.14802010416937658,0.2903423534548199,0.2618033499825825,0.12732881360325984,0.26761509348567586,0.14727658838621546,0.16082339024532707,0.22303514412698872,0.2364898174291354,0.29700148853182634,0.4191984289983985,0.19492779286182046,0.16109676753169294,0.29862089307606215,0.21822769387594454,0.12319215121839427,0.19045953410951458,0.2067841656225823,0.13711652102941496,0.25193838748660197,0.27787332103790036,0.28679022220161504,0.1084684851273352,0.1634085410691278,0.24742189492791436,0.18782001300686077,0.17498010394447555,0.21904503004263592,0.2910622760653911,0.16078692226682428,0.21416174386815442,0.09067371492627635
